id;name;ad_video_url;store_image_url;cover_image_url;average_rating;total_rating;creation_date;created_by;has_favorite;min_order;delivery;description;price_range
1;Marks Metal;payment;Computer compelling;Chips;82007;63984;2022-02-16T13:27:19;uniform Account;true;8619;71266;generating;EXPENSIVE
2;Kip;composite Tactics Dynamic;Toys bluetooth Baby;hour cross-platform Chicken;22387;84069;2022-02-16T10:47:11;redefine;true;97224;91381;GB Intuitive Summit;NONE
3;tan Wisconsin;Wooden Valley Synergistic;Future wireless Versatile;Georgia;73727;70397;2022-02-16T09:22:18;contextually-based International Rustic;true;81119;13823;Colon;NONE
4;Officer;Licensed card;deposit;GB;21429;45213;2022-02-15T22:17:49;International Corporate;false;86622;13233;SMTP e-enable bypassing;MODERATE
5;Face;vortals;index multi-byte HTTP;Account Unbranded;85186;43843;2022-02-15T22:38:17;Chips;true;5929;12273;ADP heuristic;CHEAP
6;Gloves Keyboard tertiary;convergence;bypassing Gloves Unions;Operations Corner;65311;67060;2022-02-15T23:46:23;Cross-group Toys;false;50052;66818;Liaison;CHEAP
7;Knolls Metal withdrawal;ROI transmit;Cyprus Tools bypass;Wooden Franc Points;61449;51627;2022-02-16T02:09:35;Incredible;false;37877;22036;AGP process Credit;NONE
8;Pennsylvania Checking deposit;rich;Pants;Liaison;4625;6253;2022-02-16T03:43:24;Principal Zimbabwe;true;19934;52033;Senior Avon Idaho;SPLURGE
9;Bike;Account turn-key;strategic;Principal bus;52704;38910;2022-02-15T19:42:06;Fresh morph;true;16821;40461;Uganda Steel Falkland;SPLURGE
10;virtual transmitting;plum;Account Solomon Upgradable;parse Credit;47308;55879;2022-02-16T01:33:06;Bacon application;false;38093;16358;mobile Rubber;MODERATE
