id;category_name;image_url;description;creation_date;created_by
1;silver;quantifying Investment Mouse;input Factors;2022-02-16T18:29:50;Car Configuration Legacy
2;Forward;Comoro rich Frozen;Dollar;2022-02-15T20:45:16;gold Berkshire
3;Regional payment;Small;synthesizing;2022-02-16T05:53:01;Centralized mobile
4;workforce SMTP;Tasty;dynamic Tuna;2022-02-16T01:26:54;Arizona
5;Account Kids;firewall Movies;Louisiana;2022-02-15T23:30:48;Soft
6;tan;Engineer Island withdrawal;feed;2022-02-16T19:10:29;Brooks Steel Electronics
7;Circles Ukraine mint;Light Avon;Mississippi Franc;2022-02-16T01:14:07;program Burgs
8;markets end-to-end Accountability;De-engineered;Plastic;2022-02-16T03:00:15;Hat auxiliary Argentina
9;Product full-range;HDD;aggregate Legacy;2022-02-16T19:26:49;Cotton mint
10;grey Streamlined array;intangible Pizza;New;2022-02-16T12:35:40;Islands Automated
