id;special_request;latitude;longitude;rating;price;delivery_price;tax_price;payment_method;status;discount;estimation_delivery_time;actual_delivery_time;creation_date;created_by
1;gold explicit;28213;38645;11185;54474;86590;86825;CREDITCARD;READY;34363;2022-02-16T06:35:33;2022-02-16T02:16:59;2022-02-16T01:15:57;Interface Frozen
2;Eritrea;50177;63458;69659;51489;47218;79574;CASH;READY;27852;2022-02-16T10:29:59;2022-02-16T10:24:44;2022-02-16T03:45:21;Jewelery Outdoors
3;Wells;12480;73650;21;84000;9081;36850;CREDITCARD;COLLECTING;48150;2022-02-16T18:45:48;2022-02-16T01:23:55;2022-02-16T18:28:20;reboot Liaison
4;open;26749;96073;7286;92007;56392;52831;CASH;READY;13759;2022-02-16T03:02:10;2022-02-16T16:08:09;2022-02-16T10:49:30;Granite
5;Health;13021;68347;37717;41726;65232;21863;CREDITCARD;READY;89941;2022-02-16T09:18:50;2022-02-16T00:12:34;2022-02-16T11:20:51;strategic Account Berkshire
6;Shoes IB Internal;30569;48831;10262;17198;73607;76000;CASH;COLLECTING;95971;2022-02-15T23:09:05;2022-02-15T22:11:35;2022-02-16T02:12:26;Configurable
7;Ball protocol;12469;46005;81719;7294;54138;94380;CASH;DELIVERY;21084;2022-02-16T06:07:04;2022-02-16T12:15:08;2022-02-16T10:15:34;Electronics
8;Pizza supply-chains Account;24734;28524;91560;70829;66703;96333;CASH;FINISHED;98628;2022-02-16T13:12:43;2022-02-16T03:03:12;2022-02-15T22:29:40;Sausages
9;generate;87486;99817;64478;57345;22672;20670;CASH;FINISHED;77594;2022-02-15T21:21:17;2022-02-16T05:23:15;2022-02-15T22:38:30;programming Spring dynamic
10;virtual networks indexing;75607;33652;45194;90099;21525;37189;CASH;PENDING;97311;2022-02-16T07:05:56;2022-02-16T16:01:32;2022-02-16T08:42:06;bifurcated Hat Cloned
