id;name;latitude;longitude;average_rating;total_rating;creation_date;created_by;status;discount_type;discount_amount;tax
1;protocol Pound;16811;54358;36747;61787;2022-02-16T04:34:23;Dale Programmable virtual;STOPPED;NONE;28010;3599
2;Garden deposit;16309;47984;96626;96016;2022-02-16T04:45:57;tolerance Refined Dynamic;STOPPED;PERCENTAGE;42237;64281
3;Colorado;77293;99656;84466;32213;2022-02-15T22:50:22;Djibouti olive;DRAFT;NONE;20709;56278
4;help-desk networks;18715;65082;20372;17827;2022-02-15T20:49:36;Synchronised capability;DRAFT;NONE;61697;31693
5;Highway Customer empower;49495;14590;61576;89428;2022-02-15T21:09:27;Research;DRAFT;PERCENTAGE;29569;38975
6;Plastic killer;27811;30542;41712;41520;2022-02-16T01:06:21;Home Azerbaijan;DRAFT;FIX;79515;3169
7;Zealand overriding innovate;76159;68512;60010;98966;2022-02-15T23:05:40;HDD invoice;DRAFT;PERCENTAGE;72177;44539
8;Director Corporate feed;48952;91575;81838;38849;2022-02-16T18:34:02;Architect interface;PENDING_REGISTRATION;PERCENTAGE;3063;27557
9;Fresh;34646;16790;90407;49268;2022-02-15T23:45:57;XML programming;STOPPED;PERCENTAGE;59338;7031
10;Chips Group;52326;79987;80719;48112;2022-02-16T02:57:00;foreground;STOPPED;FIX;79546;86420
