id;latitude;longitude;total_trips;average_trip_time;average_rating;total_rating;status
1;14458;62533;49036;2022-02-16T13:12:17;85596;24904;PENDING_REGISTRATION
2;50365;43826;87966;2022-02-15T22:34:29;68335;32250;PENDING_REGISTRATION
3;87899;9770;75941;2022-02-16T05:27:47;32721;40055;UNREACHABLE
4;45883;83294;31875;2022-02-16T19:07:01;82624;44205;AVAILABLE
5;44444;58917;47580;2022-02-16T05:00:41;23745;52438;DRAFT
6;78296;17376;80345;2022-02-16T16:51:12;35830;51200;STOPPED
7;99009;46577;17012;2022-02-16T11:41:30;7084;69980;UNAVAILABLE
8;10202;63673;34031;2022-02-16T06:21:18;76651;35858;DRAFT
9;38760;26277;34951;2022-02-16T06:39:52;34192;14316;AVAILABLE
10;35331;19024;36146;2022-02-16T05:34:33;12705;32877;PENDING_REGISTRATION
