id;quantity;options_desc;special_request;price;discount;creation_date
1;1104;hack;Ergonomic;80252;99187;2022-02-16T05:18:05
2;79610;Lock;Libyan;68038;4891;2022-02-16T06:07:11
3;14021;primary quantify;communities;71440;43044;2022-02-15T20:52:53
4;70072;CSS;drive Berkshire Caledonia;92719;65799;2022-02-16T03:39:13
5;46647;Orchestrator Pizza;Avon Montana;15942;77777;2022-02-16T08:00:43
6;13179;Future;Configuration holistic compress;9270;36314;2022-02-16T07:39:49
7;40967;parsing Comoros reciprocal;calculate virtual viral;35384;96965;2022-02-15T19:51:32
8;64134;Zambia;technologies gold;35160;65522;2022-02-16T12:15:12
9;53080;streamline;Fresh;32453;11190;2022-02-15T23:51:33
10;7458;Canada;Quality Bahamian;63206;93286;2022-02-15T23:27:49
