id;rate;comment;type;creation_date;created_by
1;4759;bypass THX Chief;ORDER;2022-02-16T03:34:09;Virginia Up-sized sensor
2;77424;Lead SDR Movies;DRIVER_TO_USER;2022-02-16T12:09:05;Harbors virtual copying
3;58245;AGP haptic Cotton;DRIVER_TO_USER;2022-02-16T12:59:04;payment Cocos redefine
4;225;convergence;ORDER;2022-02-16T06:05:01;high-level
5;92265;Product Small Chair;DRIVER_TO_USER;2022-02-15T20:05:19;Synchronised
6;14928;Tokelau 1080p;USER_TO_DRIVER;2022-02-16T16:28:04;orchid deposit implement
7;33660;pink;USER_TO_DRIVER;2022-02-16T11:00:25;experiences Handcrafted
8;67431;Handmade Auto;USER_TO_DRIVER;2022-02-16T07:13:12;Borders Kyat
9;58670;parsing Soft Streamlined;USER_TO_DRIVER;2022-02-16T17:55:09;Shoes open-source
10;44942;Vermont;USER_TO_DRIVER;2022-02-16T05:44:06;Technician Gloves PNG
